_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-43,C0030297,M1,1,0,DisGeNET,35,Pancreatic Neoplasm,,-43,4.9,19,30293,764,879,108,12,1.1,60|768|780|794|864|994|1028|1030|1437|1440|1490|1634|1728|1843|2030|2034|2068|2150|2195|2202|2247|2252|2263|2321|2625|2706|2817|3091|3164|3280|3485|3491|3569|3576|3672|3673|3939|3976|4015|4060|4092|4311|4316|4318|4609|4684|4837|5054|5270|5293|5327|5328|5329|5764|5874|6277|6281|6382|6387|6422|6423|6424|6425|6498|6513|6590|6648|6657|6662|6695|6752|6876|6928|7010|7040|7042|7046|7049|7052|7057|7373|7402|7474|7490|7852|7980|8091|8470|8553|8660|8829|8870|9037|9518|9547|10371|10397|10628|10631|10763|10894|23213|51129|54894|55655|64399|80310|80781,ACTB|CA9|DDR1|CALB2|RUNX3|CDC25B|CDKN1C|CDKN2B|CSF2|CSF3|CCN2|DCN|NQO1|DUSP1|SLC29A1|EPAS1|ERCC2|F2RL1|FAT1|EFEMP1|FGF2|FGF7|FGFR2|FLT1|GATA3|GJB2|GPC1|HIF1A|NR4A1|HES1|IGFBP2|CCN1|IL6|CXCL8|ITGA1|ITGA2|LDHA|LIF|LOX|LUM|SMAD7|MME|MMP7|MMP9|MYC|NCAM1|NNMT|SERPINE1|SERPINE2|PIK3CD|PLAT|PLAU|PLAUR|PTN|RAB27B|S100A6|S100A10|SDC1|CXCL12|SFRP1|SFRP2|SFRP4|SFRP5|SKIL|SLC2A1|SLPI|SOD2|SOX2|SOX9|SPOCK1|SSTR2|TAGLN|HNF1B|TEK|TGFB1|TGFB2|TGFBR1|TGFBR3|TGM2|THBS1|COL14A1|UTRN|WNT5A|WT1|CXCR4|TFPI2|HMGA2|SORBS2|BHLHE40|IRS2|NRP1|IER3|SEMA5A|GDF15|CXCL14|SEMA3A|NDRG1|TXNIP|POSTN|NES|LYVE1|SULF1|ANGPTL4|RNF43|NLRP2|HHIP|PDGFD|COL18A1,-39,0
1,-35,C4721806,M1,1,0,DisGeNET,35,"Carcinoma, Basal Cell",,-35,5.2,17,30293,557,879,84,9.6,0.99,60|165|301|633|794|864|1012|1030|1052|1381|1437|1490|1620|1634|1728|1906|2006|2068|2247|2263|2321|2625|2697|3038|3091|3280|3485|3490|3491|3569|3576|4092|4254|4311|4317|4318|4321|4322|4345|4684|4811|4837|4907|4948|5054|5216|5266|5293|5328|5329|5742|6352|6387|6425|6513|6648|6657|6662|6899|7010|7040|7042|7046|7112|7431|7474|7852|8091|8140|8549|8654|9021|9590|10397|10468|10630|26585|55655|57007|58480|64399|64478|79623|80781,ACTB|AEBP1|ANXA1|BGN|CALB2|RUNX3|CDH13|CDKN2B|CEBPD|CRABP1|CSF2|CCN2|BRINP1|DCN|NQO1|EDN1|ELN|ERCC2|FGF2|FGFR2|FLT1|GATA3|GJA1|HAS3|HIF1A|HES1|IGFBP2|IGFBP7|CCN1|IL6|CXCL8|SMAD7|KITLG|MME|MMP8|MMP9|MMP12|MMP13|CD200|NCAM1|NID1|NNMT|NT5E|OCA2|SERPINE1|PFN1|PI3|PIK3CD|PLAU|PLAUR|PTGS1|CCL5|CXCL12|SFRP5|SLC2A1|SOD2|SOX2|SOX9|TBX1|TEK|TGFB1|TGFB2|TGFBR1|TMPO|VIM|WNT5A|CXCR4|HMGA2|SLC7A5|LGR5|PDE5A|SOCS3|AKAP12|NDRG1|FST|PDPN|GREM1|NLRP2|ACKR3|RHOU|HHIP|CSMD1|GALNT14|COL18A1,-32,0
1,-35,C0024115,M1,1,0,DisGeNET,35,Lung diseases,,-35,4.6,17,30293,700,879,94,11,1,12|19|60|301|624|655|780|794|861|1281|1437|1440|1462|1490|1634|1728|1839|1843|1902|1906|1910|2006|2030|2069|2150|2247|2252|2294|2321|2355|3091|3164|3487|3488|3569|3576|3589|3675|3726|4015|4017|4060|4082|4092|4281|4312|4316|4317|4318|4321|4638|4907|5054|5125|5266|5360|5742|5764|6352|6387|6513|6590|6648|6657|6781|7010|7040|7071|7078|7130|7185|7431|7490|7852|8654|8840|9052|9464|9547|10265|10468|10516|10631|11167|26253|26298|26585|50863|57007|57211|64220|79192|83716|340061,SERPINA3|ABCA1|ACTB|ANXA1|BDKRB2|BMP7|DDR1|CALB2|RUNX1|COL3A1|CSF2|CSF3|VCAN|CCN2|DCN|NQO1|HBEGF|DUSP1|LPAR1|EDN1|EDNRB|ELN|SLC29A1|EREG|F2RL1|FGF2|FGF7|FOXF1|FLT1|FOSL2|HIF1A|NR4A1|IGFBP4|IGFBP5|IL6|CXCL8|IL11|ITGA3|JUNB|LOX|LOXL2|LUM|MARCKS|SMAD7|MID1|MMP1|MMP7|MMP8|MMP9|MMP12|MYLK|NT5E|SERPINE1|PCSK5|PI3|PLTP|PTGS1|PTN|CCL5|CXCL12|SLC2A1|SLPI|SOD2|SOX2|STC1|TEK|TGFB1|KLF10|TIMP3|TNFAIP6|TRAF1|VIM|WT1|CXCR4|PDE5A|CCN4|GPRC5A|HAND2|CXCL14|IRX5|FST|FBLN5|POSTN|FSTL1|CLEC4E|EHF|GREM1|NTM|ACKR3|ADGRG6|STRA6|IRX1|CRISPLD2|STING1,-32,0
1,-34,C0153690,M1,1,0,DisGeNET,35,Secondary malignant neoplasm of bone,,-34,4.7,17,30293,647,879,89,10,1,55|284|285|571|627|655|780|1028|1437|1462|1490|1634|1827|1906|2006|2069|2150|2162|2247|2263|2321|2697|3091|3371|3381|3486|3569|3575|3576|3589|3620|3673|3676|3689|3977|4015|4092|4129|4312|4318|4322|4609|5054|5066|5293|6354|6372|6374|6382|6387|6446|6590|6648|6899|7010|7033|7040|7046|7052|7058|7123|7431|7474|7852|8325|8600|8771|8829|8840|9052|9123|9518|9536|9547|10370|10397|10417|10631|11343|50964|51330|56937|57007|63923|79801|80310|84168|117581|157638,ACP3|ANGPT1|ANGPT2|BACH1|BDNF|BMP7|DDR1|CDKN1C|CSF2|VCAN|CCN2|DCN|RCAN1|EDN1|ELN|EREG|F2RL1|F13A1|FGF2|FGFR2|FLT1|GJA1|HIF1A|TNC|IBSP|IGFBP3|IL6|IL7R|CXCL8|IL11|IDO1|ITGA2|ITGA4|ITGB2|LIFR|LOX|SMAD7|MAOB|MMP1|MMP9|MMP13|MYC|SERPINE1|PAM|PIK3CD|CCL7|CXCL6|CXCL5|SDC1|CXCL12|SGK1|SLPI|SOD2|TBX1|TEK|TFF3|TGFB1|TGFBR1|TGM2|THBS2|CLEC3B|VIM|WNT5A|CXCR4|FZD8|TNFSF11|TNFRSF6B|NRP1|CCN4|GPRC5A|SLC16A3|GDF15|PTGES|CXCL14|CITED2|NDRG1|SPON2|POSTN|MGLL|SOST|TNFRSF12A|PMEPA1|ACKR3|TNN|SHCBP1|PDGFD|ANTXR1|TWIST2|LRATD2,-31,0
1,-33,C0042373,M1,1,0,DisGeNET,35,Vascular Diseases,,-33,4.5,16,30293,688,879,90,10,1,12|59|60|284|285|633|1003|1191|1437|1440|1462|1490|1634|1906|2006|2195|2244|2247|2296|2355|2624|3075|3091|3164|3371|3488|3491|3569|3576|3689|3726|3855|3949|3976|3977|4008|4016|4023|4129|4256|4311|4317|4318|4322|4638|4853|5054|5144|5266|5292|5293|5328|5919|5996|6372|6374|6387|6446|6513|6590|6648|7010|7040|7046|7057|7402|7431|7474|7852|8654|8804|9388|10019|10516|10628|10630|10631|11082|11167|29116|50964|56034|57007|79924|80310|80781|84168|93649|115908|340061,SERPINA3|ACTA2|ACTB|ANGPT1|ANGPT2|BGN|CDH5|CLU|CSF2|CSF3|VCAN|CCN2|DCN|EDN1|ELN|FAT1|FGB|FGF2|FOXC1|FOSL2|GATA2|CFH|HIF1A|NR4A1|TNC|IGFBP5|CCN1|IL6|CXCL8|ITGB2|JUNB|KRT7|LDLR|LIF|LIFR|LMO7|LOXL1|LPL|MAOB|MGP|MME|MMP8|MMP9|MMP13|MYLK|NOTCH2|SERPINE1|PDE4D|PI3|PIM1|PIK3CD|PLAU|RARRES2|RGS1|CXCL6|CXCL5|CXCL12|SGK1|SLC2A1|SLPI|SOD2|TEK|TGFB1|TGFBR1|THBS1|UTRN|VIM|WNT5A|CXCR4|PDE5A|CREG1|LIPG|SH2B3|FBLN5|TXNIP|PDPN|POSTN|ESM1|FSTL1|MYLIP|SOST|PDGFC|ACKR3|ADM2|PDGFD|COL18A1|ANTXR1|MYOCD|CTHRC1|STING1,-30,0
1,-32,C0017601,M1,1,0,DisGeNET,35,Glaucoma,,-32,4.2,16,30293,769,879,94,11,1,19|60|284|285|627|718|768|894|1030|1052|1191|1281|1296|1301|1356|1437|1462|1490|1545|1906|1910|1993|2006|2296|2697|3091|3290|3569|3576|3676|3910|3918|4015|4016|4053|4256|4312|4318|4495|4638|4747|4868|4969|5080|5176|5293|5351|5961|6289|6299|6372|6422|6578|6648|6866|6899|7010|7040|7042|7046|7049|7052|7057|7078|7122|7184|7262|7402|7490|9518|9588|10216|10468|10628|10631|11281|11343|23141|26047|27115|27151|51330|55366|55890|56896|79633|79971|80781|84168|84627|92211|92949|117195|170691,ABCA1|ACTB|ANGPT1|ANGPT2|BDNF|C3|CA9|CCND2|CDKN2B|CEBPD|CLU|COL3A1|COL8A2|COL11A1|CP|CSF2|VCAN|CCN2|CYP1B1|EDN1|EDNRB|ELAVL2|ELN|FOXC1|GJA1|HIF1A|HSD11B1|IL6|CXCL8|ITGA4|LAMA4|LAMC2|LOX|LOXL1|LTBP2|MGP|MMP1|MMP9|MT1G|MYLK|NEFL|NPHS1|OGN|PAX6|SERPINF1|PIK3CD|PLOD1|PRPH2|SAA2|SALL1|CXCL6|SFRP1|SLCO2A1|SOD2|TAC3|TBX1|TEK|TGFB1|TGFB2|TGFBR1|TGFBR3|TGM2|THBS1|TIMP3|CLDN5|HSP90B1|PHLDA2|UTRN|WT1|GDF15|PRDX6|PRG4|FST|TXNIP|POSTN|POU6F2|MGLL|ANKLE2|CNTNAP2|PDE7B|CPAMD8|TNFRSF12A|LGR4|GPRC5C|DPYSL5|FAT4|WLS|COL18A1|ANTXR1|ZNF469|CDHR1|ADAMTSL1|MRGPRX3|ADAMTS17,-29,0
1,-32,C3811653,M1,1,0,DisGeNET,35,Experimental Organism Basal Cell Carcinoma,,-32,5.6,17,30293,437,879,71,8.1,0.92,60|301|633|794|864|1030|1381|1437|1490|1620|1634|1728|1906|2006|2068|2247|2263|2321|2625|2697|3038|3091|3280|3485|3490|3491|3569|3576|4092|4254|4311|4317|4318|4322|4345|4684|4811|4837|4907|4948|5054|5216|5266|5293|5329|5742|6352|6387|6425|6648|6657|6662|6899|7010|7040|7042|7046|7431|7474|7852|8091|8140|8549|8654|10468|10630|26585|57007|58480|79623|80781,ACTB|ANXA1|BGN|CALB2|RUNX3|CDKN2B|CRABP1|CSF2|CCN2|BRINP1|DCN|NQO1|EDN1|ELN|ERCC2|FGF2|FGFR2|FLT1|GATA3|GJA1|HAS3|HIF1A|HES1|IGFBP2|IGFBP7|CCN1|IL6|CXCL8|SMAD7|KITLG|MME|MMP8|MMP9|MMP13|CD200|NCAM1|NID1|NNMT|NT5E|OCA2|SERPINE1|PFN1|PI3|PIK3CD|PLAUR|PTGS1|CCL5|CXCL12|SFRP5|SOD2|SOX2|SOX9|TBX1|TEK|TGFB1|TGFB2|TGFBR1|VIM|WNT5A|CXCR4|HMGA2|SLC7A5|LGR5|PDE5A|FST|PDPN|GREM1|ACKR3|RHOU|GALNT14|COL18A1,-29,0
1,-32,C1449563,M1,1,0,DisGeNET,35,"Cardiomyopathy, Familial Idiopathic",,-32,4.2,16,30293,772,879,94,11,1,59|60|70|284|285|768|864|894|969|1003|1191|1301|1440|1490|1674|1832|1843|1906|1910|2006|2195|2615|2697|2730|3091|3569|3575|3576|3620|4008|4015|4053|4060|4065|4254|4311|4312|4317|4318|4322|4609|4638|4684|5054|5080|5137|5176|5293|5502|6277|6319|6382|6387|6422|6513|6648|6657|6850|7010|7040|7042|7052|7057|7075|7078|7112|7122|7134|7168|7431|7474|7852|8492|8771|9021|9464|9518|10252|10611|10630|10631|10763|11095|27063|27129|51142|51435|57007|58480|63976|84665|93649|130399|150094,ACTA2|ACTB|ACTC1|ANGPT1|ANGPT2|CA9|RUNX3|CCND2|CD69|CDH5|CLU|COL11A1|CSF3|CCN2|DES|DSP|DUSP1|EDN1|EDNRB|ELN|FAT1|LRRC32|GJA1|GCLM|HIF1A|IL6|IL7R|CXCL8|IDO1|LMO7|LOX|LTBP2|LUM|LY75|KITLG|MME|MMP1|MMP8|MMP9|MMP13|MYC|MYLK|NCAM1|SERPINE1|PAX6|PDE1C|SERPINF1|PIK3CD|PPP1R1A|S100A6|SCD|SDC1|CXCL12|SFRP1|SLC2A1|SOD2|SOX2|SYK|TEK|TGFB1|TGFB2|TGM2|THBS1|TIE1|TIMP3|TMPO|CLDN5|TNNC1|TPM1|VIM|WNT5A|CXCR4|PRSS12|TNFRSF6B|SOCS3|HAND2|GDF15|SPRY1|PDLIM5|PDPN|POSTN|NES|ADAMTS8|ANKRD1|HSPB7|CHCHD2|SCARA3|ACKR3|RHOU|PRDM16|MYPN|MYOCD|ACVR1C|SIK1,-29,0
1,-30,C1704272,M1,1,0,DisGeNET,35,Benign Prostatic Hyperplasia,,-30,4.1,15,30293,770,879,92,10,1,19|55|60|147|285|768|1191|1437|1462|1501|1545|1728|1843|1902|1906|1910|2006|2150|2247|2252|2263|2294|2321|2512|2625|2817|3090|3091|3232|3280|3485|3486|3488|3490|3491|3569|3576|3620|3676|3776|3939|4015|4023|4254|4316|4318|4609|5066|5176|5292|5293|5328|5764|5919|6277|6352|6422|6423|6424|6446|6493|6657|6662|6664|6752|6781|6928|7033|7040|7042|7057|7058|7078|7168|7431|8654|9021|9052|9518|9547|9590|10468|10628|10631|23213|23462|25805|51129|56937|57007|202151|644943,ABCA1|ACP3|ACTB|ADRA1B|ANGPT2|CA9|CLU|CSF2|VCAN|CTNND2|CYP1B1|NQO1|DUSP1|LPAR1|EDN1|EDNRB|ELN|F2RL1|FGF2|FGF7|FGFR2|FOXF1|FLT1|FTL|GATA3|GPC1|HIC1|HIF1A|HOXD3|HES1|IGFBP2|IGFBP3|IGFBP5|IGFBP7|CCN1|IL6|CXCL8|IDO1|ITGA4|KCNK2|LDHA|LOX|LPL|KITLG|MMP7|MMP9|MYC|PAM|SERPINF1|PIM1|PIK3CD|PLAU|PTN|RARRES2|S100A6|CCL5|SFRP1|SFRP2|SFRP4|SGK1|SIM2|SOX2|SOX9|SOX11|SSTR2|STC1|HNF1B|TFF3|TGFB1|TGFB2|THBS1|THBS2|TIMP3|TPM1|VIM|PDE5A|SOCS3|GPRC5A|GDF15|CXCL14|AKAP12|FST|TXNIP|POSTN|SULF1|HEY1|BAMBI|ANGPTL4|PMEPA1|ACKR3|RANBP3L|RASSF10,-27,0
1,-30,C0555198,M1,1,0,DisGeNET,35,Malignant Glioma,,-30,4.2,15,30293,724,879,89,10,1,60|220|284|285|301|624|627|768|894|1028|1030|1356|1437|1462|1634|1674|1839|2012|2034|2069|2150|2173|2195|2202|2247|2321|2590|2670|2697|3091|3164|3371|3485|3569|3576|3675|3679|3925|3939|4023|4312|4318|4345|4609|4638|4853|5080|5176|5293|5328|5360|5502|5764|5874|6352|6382|6657|6662|6664|6781|7010|7033|7040|7042|7057|7103|7431|7490|7852|7980|8091|8140|8407|8549|8771|9068|9518|9547|10397|10628|10630|10763|11170|23089|23362|51129|51330|64321|80781,ACTB|ALDH1A3|ANGPT1|ANGPT2|ANXA1|BDKRB2|BDNF|CA9|CCND2|CDKN1C|CDKN2B|CP|CSF2|VCAN|DCN|DES|HBEGF|EMP1|EPAS1|EREG|F2RL1|FABP7|FAT1|EFEMP1|FGF2|FLT1|GALNT2|GFAP|GJA1|HIF1A|NR4A1|TNC|IGFBP2|IL6|CXCL8|ITGA3|ITGA7|STMN1|LDHA|LPL|MMP1|MMP9|CD200|MYC|MYLK|NOTCH2|PAX6|SERPINF1|PIK3CD|PLAU|PLTP|PPP1R1A|PTN|RAB27B|CCL5|SDC1|SOX2|SOX9|SOX11|STC1|TEK|TFF3|TGFB1|TGFB2|THBS1|TSPAN8|VIM|WT1|CXCR4|TFPI2|HMGA2|SLC7A5|TAGLN2|LGR5|TNFRSF6B|ANGPTL1|GDF15|CXCL14|NDRG1|TXNIP|PDPN|NES|FAM107A|PEG10|PSD3|ANGPTL4|TNFRSF12A|SOX17|COL18A1,-27,0
1,-30,C0151650,M1,1,0,DisGeNET,35,Renal fibrosis,,-30,4.7,15,30293,570,879,78,8.9,0.96,60|284|285|633|655|718|780|861|1191|1490|1634|1674|1728|1843|1906|1910|2006|2034|2150|2195|2263|2296|2697|3037|3055|3091|3164|3371|3569|3589|3673|3726|3925|3976|4015|4017|4092|4312|4316|4318|4322|4853|4907|5054|5176|5293|5327|5730|6387|6422|6425|6498|6513|6648|6662|6899|7040|7042|7046|7052|7057|7402|7431|7474|7837|7852|8482|8840|9518|9536|10628|10631|64094|79924|93649|114904|117581|203447,ACTB|ANGPT1|ANGPT2|BGN|BMP7|C3|DDR1|RUNX1|CLU|CCN2|DCN|DES|NQO1|DUSP1|EDN1|EDNRB|ELN|EPAS1|F2RL1|FAT1|FGFR2|FOXC1|GJA1|HAS2|HCK|HIF1A|NR4A1|TNC|IL6|IL11|ITGA2|JUNB|STMN1|LIF|LOX|LOXL2|SMAD7|MMP1|MMP7|MMP9|MMP13|NOTCH2|NT5E|SERPINE1|SERPINF1|PIK3CD|PLAT|PTGDS|CXCL12|SFRP1|SFRP5|SKIL|SLC2A1|SOD2|SOX9|TBX1|TGFB1|TGFB2|TGFBR1|TGM2|THBS1|UTRN|VIM|WNT5A|PXDN|CXCR4|SEMA7A|CCN4|GDF15|PTGES|TXNIP|POSTN|SMOC2|ADM2|MYOCD|C1QTNF6|TWIST2|NRK,-27,0
1,-29,C0151744,M1,1,0,DisGeNET,35,Myocardial Ischemia,,-29,4.1,15,30293,756,879,89,10,1,19|60|284|285|301|624|627|718|861|894|1000|1052|1440|1490|1634|1674|1827|1843|1906|1910|1959|2006|2030|2034|2150|2244|2247|2296|2662|2670|2697|2730|3091|3164|3280|3371|3486|3490|3491|3569|3620|3726|3776|3939|3949|4015|4023|4223|4254|4316|4318|4684|5054|5055|5069|5142|5176|5292|5293|6277|6288|6289|6319|6387|6424|6648|6876|7040|7042|7071|7112|7185|7852|7857|8407|8553|8804|9021|9518|9588|10371|10611|10628|54541|55655|79924|80781|347902|359948,ABCA1|ACTB|ANGPT1|ANGPT2|ANXA1|BDKRB2|BDNF|C3|RUNX1|CCND2|CDH2|CEBPD|CSF3|CCN2|DCN|DES|RCAN1|DUSP1|EDN1|EDNRB|EGR2|ELN|SLC29A1|EPAS1|F2RL1|FGB|FGF2|FOXC1|GDF10|GFAP|GJA1|GCLM|HIF1A|NR4A1|HES1|TNC|IGFBP3|IGFBP7|CCN1|IL6|IDO1|JUNB|KCNK2|LDHA|LDLR|LOX|LPL|MEOX2|KITLG|MMP7|MMP9|NCAM1|SERPINE1|SERPINB2|PAPPA|PDE4B|SERPINF1|PIM1|PIK3CD|S100A6|SAA1|SAA2|SCD|CXCL12|SFRP4|SOD2|TAGLN|TGFB1|TGFB2|KLF10|TMPO|TRAF1|CXCR4|SCG2|TAGLN2|BHLHE40|CREG1|SOCS3|GDF15|PRDX6|SEMA3A|PDLIM5|TXNIP|DDIT4|NLRP2|ADM2|COL18A1|AMIGO2|IRF2BP2,-26,0
1,-28,C0856169,M1,1,0,DisGeNET,35,Endothelial dysfunction,,-28,4.1,15,30293,716,879,86,9.8,1,19|55|285|627|710|1003|1191|1240|1437|1906|1910|2006|2150|2151|2201|2244|2247|2321|2621|2624|3075|3091|3164|3486|3569|3576|3689|3918|3949|4015|4060|4129|4256|4318|4907|5054|5055|5176|5216|5293|5327|5328|5742|5919|6319|6352|6372|6382|6387|6414|6424|6425|6446|6513|6590|6648|6899|7040|7046|7052|7057|7122|7402|7431|7474|7837|8482|8600|8654|9123|9518|9536|9590|9644|10628|11082|11095|11096|51330|57007|79924|80274|81035|114904|117195|284207,ABCA1|ACP3|ANGPT2|BDNF|SERPING1|CDH5|CLU|CMKLR1|CSF2|EDN1|EDNRB|ELN|F2RL1|F2RL2|FBN2|FGB|FGF2|FLT1|GAS6|GATA2|CFH|HIF1A|NR4A1|IGFBP3|IL6|CXCL8|ITGB2|LAMC2|LDLR|LOX|LUM|MAOB|MGP|MMP9|NT5E|SERPINE1|SERPINB2|SERPINF1|PFN1|PIK3CD|PLAT|PLAU|PTGS1|RARRES2|SCD|CCL5|CXCL6|SDC1|CXCL12|SELENOP|SFRP4|SFRP5|SGK1|SLC2A1|SLPI|SOD2|TBX1|TGFB1|TGFBR1|TGM2|THBS1|CLDN5|UTRN|VIM|WNT5A|PXDN|SEMA7A|TNFSF11|PDE5A|SLC16A3|GDF15|PTGES|AKAP12|SH3PXD2A|TXNIP|ESM1|ADAMTS8|ADAMTS5|TNFRSF12A|ACKR3|ADM2|SCUBE1|COLEC12|C1QTNF6|MRGPRX3|METRNL,-26,0
1,-28,C0003130,M1,1,0,DisGeNET,35,Anoxia,,-28,6.6,16,30293,287,879,55,6.3,0.82,60|284|285|627|768|1263|1490|1843|1906|1910|2034|2321|2662|3091|3371|3486|3490|3491|3569|3576|3624|3776|4254|4312|4318|4502|4609|5033|5176|5327|5329|6319|6387|6446|6513|6515|6648|6662|6781|6850|7010|7040|7042|7046|7057|7184|7262|7852|8553|10397|10628|54206|54541|79365|81567,ACTB|ANGPT1|ANGPT2|BDNF|CA9|PLK3|CCN2|DUSP1|EDN1|EDNRB|EPAS1|FLT1|GDF10|HIF1A|TNC|IGFBP3|IGFBP7|CCN1|IL6|CXCL8|INHBA|KCNK2|KITLG|MMP1|MMP9|MT2A|MYC|P4HA1|SERPINF1|PLAT|PLAUR|SCD|CXCL12|SGK1|SLC2A1|SLC2A3|SOD2|SOX9|STC1|SYK|TEK|TGFB1|TGFB2|TGFBR1|THBS1|HSP90B1|PHLDA2|CXCR4|BHLHE40|NDRG1|TXNIP|ERRFI1|DDIT4|BHLHE41|TXNDC5,-25,0
1,-28,C0085207,M1,1,0,DisGeNET,35,Gestational Diabetes,,-28,4.3,15,30293,649,879,81,9.2,0.98,12|19|60|285|301|429|627|1003|1030|1191|1240|1545|1634|2030|2244|2247|2321|2619|2625|2670|2697|3091|3290|3339|3485|3486|3487|3569|3576|3638|3939|3949|4023|4060|4232|4317|4318|4853|5054|5055|5069|5293|5360|5919|6303|6319|6414|6424|6513|6515|6648|6657|6876|6928|7040|7046|7078|7103|7373|8660|8840|9388|9518|9644|10216|10272|10370|10468|10628|11082|11096|11343|50937|50964|51129|55532|64220|80274|169026|219699|252995,SERPINA3|ABCA1|ACTB|ANGPT2|ANXA1|ASCL1|BDNF|CDH5|CDKN2B|CLU|CMKLR1|CYP1B1|DCN|SLC29A1|FGB|FGF2|FLT1|GAS1|GATA3|GFAP|GJA1|HIF1A|HSD11B1|HSPG2|IGFBP2|IGFBP3|IGFBP4|IL6|CXCL8|INSIG1|LDHA|LDLR|LPL|LUM|MEST|MMP8|MMP9|NOTCH2|SERPINE1|SERPINB2|PAPPA|PIK3CD|PLTP|RARRES2|SAT1|SCD|SELENOP|SFRP4|SLC2A1|SLC2A3|SOD2|SOX2|TAGLN|HNF1B|TGFB1|TGFBR1|TIMP3|TSPAN8|COL14A1|IRS2|CCN4|LIPG|GDF15|SH3PXD2A|PRG4|FSTL3|CITED2|FST|TXNIP|ESM1|ADAMTS5|MGLL|CDON|SOST|ANGPTL4|SLC30A10|STRA6|SCUBE1|SLC30A8|UNC5B|FNDC5,-25,0
1,-28,C0025286,M1,1,0,DisGeNET,35,Meningioma,,-28,4.3,15,30293,634,879,80,9.1,0.97,60|220|768|864|894|969|1028|1030|1437|1440|1462|1490|1545|1601|1832|1906|1910|2034|2068|2162|2192|2247|2321|2670|2697|2706|3091|3280|3371|3485|3488|3490|3569|3620|3675|3918|3925|4053|4211|4311|4312|4318|4609|4853|4907|4958|4969|5054|5293|5328|5329|5730|5742|5764|6277|6281|6387|6422|6424|6446|6624|6752|7040|7052|7057|7078|7122|7431|7490|7852|7980|8407|8549|8745|9590|10628|10763|57007|64386|120114,ACTB|ALDH1A3|CA9|RUNX3|CCND2|CD69|CDKN1C|CDKN2B|CSF2|CSF3|VCAN|CCN2|CYP1B1|DAB2|DSP|EDN1|EDNRB|EPAS1|ERCC2|F13A1|FBLN1|FGF2|FLT1|GFAP|GJA1|GJB2|HIF1A|HES1|TNC|IGFBP2|IGFBP5|IGFBP7|IL6|IDO1|ITGA3|LAMC2|STMN1|LTBP2|MEIS1|MME|MMP1|MMP9|MYC|NOTCH2|NT5E|OMD|OGN|SERPINE1|PIK3CD|PLAU|PLAUR|PTGDS|PTGS1|PTN|S100A6|S100A10|CXCL12|SFRP1|SFRP4|SGK1|FSCN1|SSTR2|TGFB1|TGM2|THBS1|TIMP3|CLDN5|VIM|WT1|CXCR4|TFPI2|TAGLN2|LGR5|ADAM23|AKAP12|TXNIP|NES|ACKR3|MMP25|FAT3,-25,0
1,-27,C0007124,M1,1,0,DisGeNET,35,Noninfiltrating Intraductal Carcinoma,,-27,4.9,15,30293,486,879,69,7.8,0.91,60|768|780|861|864|894|1012|1191|1301|1728|2069|2195|2296|2321|2621|2625|2706|3091|3371|3486|3490|3569|3624|3676|4015|4065|4311|4312|4317|4318|4322|4609|4638|4747|4853|5054|5080|5266|5293|5328|6277|6281|6382|6387|6422|6493|6513|6624|6657|6662|6664|6850|7040|7057|7075|7431|7852|8482|8660|8829|9547|10376|10468|10628|10631|23089|23213|84627|130399,ACTB|CA9|DDR1|RUNX1|RUNX3|CCND2|CDH13|CLU|COL11A1|NQO1|EREG|FAT1|FOXC1|FLT1|GAS6|GATA3|GJB2|HIF1A|TNC|IGFBP3|IGFBP7|IL6|INHBA|ITGA4|LOX|LY75|MME|MMP1|MMP8|MMP9|MMP13|MYC|MYLK|NEFL|NOTCH2|SERPINE1|PAX6|PI3|PIK3CD|PLAU|S100A6|S100A10|SDC1|CXCL12|SFRP1|SIM2|SLC2A1|FSCN1|SOX2|SOX9|SOX11|SYK|TGFB1|THBS1|TIE1|VIM|CXCR4|SEMA7A|IRS2|NRP1|CXCL14|TUBA1B|FST|TXNIP|POSTN|PEG10|SULF1|ZNF469|ACVR1C,-24,0
