_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
0,0,0,1,1,1,0,1,0.0,0.0,0.0,-3.724305346527715,-32.66602443072029,-2.7120658903189043,0.0,-6.0528236870775025,M5930,M00011101,4,0,Hallmark Gene Sets,23,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,,-32.66602443072029,20.31378048780488,24.798844290993216,30286,200,246,33,13.414634146341463,2.172921869892785,388|633|800|1000|1277|1282|1289|1303|1462|1490|2316|2335|3371|3624|3685|3688|3918|4017|4616|5054|5270|6876|7045|7168|7171|8572|10085|10272|10398|11010|51330|56937|115908,RHOB|BGN|CALD1|CDH2|COL1A1|COL4A1|COL5A1|COL12A1|VCAN|CCN2|FLNA|FN1|TNC|INHBA|ITGAV|ITGB1|LAMC2|LOXL2|GADD45B|SERPINE1|SERPINE2|TAGLN|TGFBI|TPM1|TPM4|PDLIM4|EDIL3|FSTL3|MYL9|GLIPR1|TNFRSF12A|PMEPA1|CTHRC1,-28.376524664846436,0,1.0,1.0,1.0,-32.66602443072029,20.31378048780488,
0,0,0,1,1,1,0,0,0.0,0.0,0.0,-23.20361279973014,-16.68850923515014,-8.538843456107765,0.0,0.0,M5890,M00011100,3,0,Hallmark Gene Sets,23,HALLMARK TNFA SIGNALING VIA NFKB,,-28.42110808592171,4.843480714957667,14.984303897289099,30286,200,2126,68,3.1984948259642523,0.3816209877484173,182|329|388|595|602|960|1326|1435|1843|1847|1906|1959|2150|2354|2643|2683|2919|3371|3383|3398|3572|3624|3659|3725|3726|3976|4084|4088|4616|4783|5054|5271|5734|5743|5971|6303|6372|6385|6648|6776|7050|7185|7280|8303|8837|8870|8877|8878|9021|9334|10135|10318|10611|10769|10938|10950|10957|11182|22822|23529|23586|23764|51278|56937|64135|79155|80149|80176,JAG1|BIRC2|RHOB|CCND1|BCL3|CD44|MAP3K8|CSF1|DUSP1|DUSP5|EDN1|EGR2|F2RL1|FOSB|GCH1|B4GALT1|CXCL1|TNC|ICAM1|ID2|IL6ST|INHBA|IRF1|JUN|JUNB|LIF|MXD1|SMAD3|GADD45B|NFIL3|SERPINE1|SERPINB8|PTGER4|PTGS2|RELB|SAT1|CXCL6|SDC4|SOD2|STAT5A|TGIF1|TRAF1|TUBB2A|SNN|CFLAR|IER3|SPHK1|SQSTM1|SOCS3|B4GALT5|NAMPT|TNIP1|PDLIM5|PLK2|EHD1|BTG3|PNRC1|SLC2A6|PHLDA1|CLCF1|RIGI|MAFF|IER5|PMEPA1|IFIH1|TNIP2|ZC3H12A|SPSB1,-24.131608320047853,0,2.0,1.0,1.0,-28.42110808592171,4.843480714957667,
1,0,0,0,0,0,0,1,-2.399107935987054,0.0,0.0,0.0,0.0,0.0,0.0,-25.09215266496945,GO:0048193,M10000001,2,0,GO Biological Processes,19,Golgi vesicle transport,19_GO:0051179 localization,-25.09215266496945,13.520535714285714,19.125024382350063,30286,280,248,31,12.5,2.100067203225772,1315|3875|5584|8729|9276|9527|9554|9919|9950|10066|10067|10113|10282|10483|10484|10525|10802|10890|10897|11079|11316|23760|51014|51128|56681|57120|57410|57511|64083|90522|122553,COPB1|KRT18|PRKCI|GBF1|COPB2|GOSR1|SEC22B|SEC16A|GOLGA5|SCAMP2|SCAMP3|PREB|BET1|SEC23B|SEC23A|HYOU1|SEC24A|RAB10|YIF1A|RER1|COPE|PITPNB|TMED7|SAR1B|SAR1A|GOPC|SCYL1|COG6|GOLPH3|YIF1B|TRAPPC6B,-21.103682894759576,0,3.0,1.0,1.0,-25.09215266496945,19.539354838709677,
0,0,0,1,0,0,0,0,0.0,0.0,0.0,-24.469792206846986,0.0,0.0,0.0,0.0,M5913,M00010000,1,0,Hallmark Gene Sets,23,HALLMARK INTERFERON GAMMA RESPONSE,,-24.469792206846986,14.589601328903653,19.318993603994357,30286,200,301,29,9.634551495016611,1.7007234800089057,3383|3431|3659|3660|3669|4599|4615|4940|5359|5696|5698|6648|6774|6892|7412|9021|9111|9246|9961|10379|10906|23586|54625|55601|64135|64761|80830|85441|94240,ICAM1|SP110|IRF1|IRF2|ISG20|MX1|MYD88|OAS3|PLSCR1|PSMB8|PSMB9|SOD2|STAT3|TAPBP|VCAM1|SOCS3|NMI|UBE2L6|MVP|IRF9|TRAFD1|RIGI|PARP14|DDX60|IFIH1|PARP12|APOL6|HELZ2|EPSTI1,-20.657413695692792,0,4.0,1.0,1.0,-24.469792206846986,19.70866869883892,
0,0,0,1,1,1,1,0,0.0,0.0,0.0,-3.8945489779023412,-14.128610824223072,-6.955267088049288,-2.387191009436069,0.0,R-HSA-9716542,M00011110,4,0,Reactome Gene Sets,6,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-23.778373497825335,2.604446204881913,11.989229017796774,30286,722,2126,132,6.208842897460019,0.523364971619859,60|87|182|224|388|390|392|394|395|396|708|908|991|1027|1072|1123|1445|1495|1499|1783|1832|1856|2040|2316|2802|2873|2909|3336|3688|3796|4296|4627|4637|4650|5058|5170|5216|5217|5337|5338|5501|5519|5525|5595|5825|5879|5880|6453|6510|6793|7126|7171|7204|7280|7410|7529|7846|8776|8874|9367|9411|9528|9590|9710|9815|9828|10006|10092|10096|10144|10254|10298|10395|10398|10424|10499|10652|10788|11135|11140|11214|11329|22906|22919|23081|23092|23141|23268|23348|23580|25963|26030|26050|26230|26286|29766|30851|51133|51143|51291|54820|54908|55852|55968|57120|57473|57480|57514|57579|57580|57584|57591|63916|64130|64837|65124|79023|79180|80179|81930|90627|91010|92799|94240|94274|128272|139818|143098|148170|151246|157285|347733,ACTB|ACTN1|JAG1|ALDH3A2|RHOB|RND3|ARHGAP1|ARHGAP5|ARHGAP6|ARHGDIA|C1QBP|CCT6A|CDC20|CDKN1B|CFL1|CHN1|CSK|CTNNA1|CTNNB1|DYNC1LI2|DSP|DVL2|STOM|FLNA|GOLGA3|GPS1|ARHGAP35|HSPE1|ITGB1|KIF2A|MAP3K11|MYH9|MYL6|MYO9B|PAK1|PDPK1|PFN1|PFN2|PLD1|PLD2|PPP1CC|PPP2R1B|PPP2R5A|MAPK3|ABCD3|RAC1|RAC2|ITSN1|SLC1A5|STK10|TNFAIP1|TPM4|TRIO|TUBB2A|VAV2|YWHAB|TUBA1A|MTMR1|ARHGEF7|RAB9A|ARHGAP29|TMEM59|AKAP12|GARRE1|GIT2|ARHGEF17|ABI1|ARPC5|ACTR3|FAM13A|STAM2|PAK4|DLC1|MYL9|PGRMC2|NCOA2|YKT6|IQGAP2|CDC42EP1|CDC37|AKAP13|STK38|TRAK1|MAPRE1|KDM4C|ARHGAP26|ANKLE2|DNMBP|DOCK9|CDC42EP4|TMEM87A|PLEKHG3|SLITRK5|TIAM2|ARFGAP3|TMOD3|TAX1BP3|KCTD3|DYNC1LI1|GMIP|NDE1|SPDL1|TEX2|NSFL1C|GOPC|ZNF512B|PLEKHG1|ARHGAP31|FAM135A|PREX1|ARHGAP21|MRTFA|ELMO2|LIN7B|KLC2|SOWAHC|NUP37|EFHD2|MYO19|KIF18A|STARD13|FMNL3|SHKBP1|EPSTI1|PPP1R14A|ARHGEF19|DOCK11|MPP7|CDC42EP5|SGO2|PRAG1|TUBB2B,-19.96599498667114,0,5.0,1.0,1.0,-23.778373497825335,4.620172383107473,
1,0,1,1,1,1,0,0,-2.431021193126874,0.0,-3.5103522012245674,-5.801608424811042,-17.401184691567114,-4.458056318938366,0.0,0.0,GO:0035239,M10111100,5,0,GO Biological Processes,19,tube morphogenesis,19_GO:0032502 developmental process,-23.62811138792904,2.6527602673780564,11.995157291534229,30286,682,2126,127,5.973659454374412,0.5140002938239276,133|182|317|388|677|780|800|1000|1282|1435|1490|1499|1856|1893|1906|1948|1956|2043|2045|2049|2050|2260|2263|2296|2316|2335|2648|2683|2752|2909|3162|3200|3202|3204|3213|3371|3398|3611|3685|3688|3696|3726|4017|4088|4092|4323|4488|4522|4524|4627|4669|5054|5058|5087|5156|5216|5310|5316|5534|5663|5743|6091|6303|6385|6422|6505|6608|6659|7045|7048|7189|7248|7249|7289|7291|7408|7410|7494|7716|7798|7849|8321|8463|8642|8751|8915|9255|9394|9620|9645|9968|10018|10267|10370|10395|11331|23059|23552|23670|25865|25902|25932|25960|26005|30812|51330|51421|51684|55083|55742|57545|60681|64344|64399|65009|79600|80149|84445|90627|91010|115908|147372|153090|154796|219699|284217|441478,ADM|JAG1|APAF1|RHOB|ZFP36L1|DDR1|CALD1|CDH2|COL4A1|CSF1|CCN2|CTNNB1|DVL2|ECM1|EDN1|EFNB2|EGFR|EPHA4|EPHA7|EPHB3|EPHB4|FGFR1|FGFR2|FOXC1|FLNA|FN1|KAT2A|B4GALT1|GLUL|ARHGAP35|HMOX1|HOXA3|HOXA5|HOXA7|HOXB3|TNC|ID2|ILK|ITGAV|ITGB1|ITGB8|JUNB|LOXL2|SMAD3|SMAD7|MMP14|MSX2|MTHFD1|MTHFR|MYH9|NAGLU|SERPINE1|PAK1|PBX1|PDGFRA|PFN1|PKD1|PKNOX1|PPP3R1|PSEN1|PTGS2|ROBO1|SAT1|SDC4|SFRP1|SLC1A1|SMO|SOX4|TGFBI|TGFBR2|TRAF6|TSC1|TSC2|TULP3|TWIST1|VASP|VAV2|XBP1|VEZF1|LUZP1|PAX8|FZD1|TEAD2|DCHS1|ADAM15|BCL10|AIMP1|HS6ST1|CELSR1|MICAL2|MED12|BCL2L11|RAMP1|CITED2|DLC1|PHB2|CLUAP1|CDK20|CEMIP2|PRKD2|MTHFD1L|CLIC4|ADGRA2|C2CD3|SOX8|TNFRSF12A|AMOTL2|SUFU|KIF26B|PARVA|CC2D2A|FKBP10|HIF3A|HHIP|NDRG4|TCTN1|ZC3H12A|LZTS2|STARD13|FMNL3|CTHRC1|CCBE1|DAB2IP|AMOT|UNC5B|LAMA1|NRARP,-19.940671613383145,0,6.0,1.0,1.0,-23.62811138792904,4.641802403627639,
0,0,0,1,1,1,1,0,0.0,0.0,0.0,-3.552335348942594,-14.398374243577363,-7.128860500210297,-2.003921538012167,0.0,R-HSA-194315,M00011110,4,0,Reactome Gene Sets,6,Signaling by Rho GTPases,,-23.220310876415954,2.6029370614461715,11.841284888016805,30286,706,2126,129,6.067732831608655,0.5177725201453156,60|87|182|224|388|390|392|394|395|396|708|908|991|1027|1072|1123|1445|1495|1499|1783|1832|1856|2040|2316|2802|2873|2909|3336|3688|3796|4296|4627|4637|4650|5058|5170|5216|5217|5337|5338|5501|5519|5525|5595|5825|5879|5880|6453|6510|6793|7126|7171|7204|7280|7410|7529|7846|8776|8874|9411|9528|9590|9710|9815|9828|10006|10092|10096|10144|10254|10298|10395|10398|10424|10499|10652|10788|11135|11140|11214|11329|22919|23081|23092|23141|23268|23348|23580|25963|26030|26050|26230|26286|29766|30851|51133|51143|51291|54820|54908|55852|55968|57120|57473|57480|57514|57579|57580|57584|57591|63916|64130|64837|65124|79023|79180|81930|90627|91010|92799|94240|94274|128272|139818|143098|148170|151246|157285|347733,ACTB|ACTN1|JAG1|ALDH3A2|RHOB|RND3|ARHGAP1|ARHGAP5|ARHGAP6|ARHGDIA|C1QBP|CCT6A|CDC20|CDKN1B|CFL1|CHN1|CSK|CTNNA1|CTNNB1|DYNC1LI2|DSP|DVL2|STOM|FLNA|GOLGA3|GPS1|ARHGAP35|HSPE1|ITGB1|KIF2A|MAP3K11|MYH9|MYL6|MYO9B|PAK1|PDPK1|PFN1|PFN2|PLD1|PLD2|PPP1CC|PPP2R1B|PPP2R5A|MAPK3|ABCD3|RAC1|RAC2|ITSN1|SLC1A5|STK10|TNFAIP1|TPM4|TRIO|TUBB2A|VAV2|YWHAB|TUBA1A|MTMR1|ARHGEF7|ARHGAP29|TMEM59|AKAP12|GARRE1|GIT2|ARHGEF17|ABI1|ARPC5|ACTR3|FAM13A|STAM2|PAK4|DLC1|MYL9|PGRMC2|NCOA2|YKT6|IQGAP2|CDC42EP1|CDC37|AKAP13|STK38|MAPRE1|KDM4C|ARHGAP26|ANKLE2|DNMBP|DOCK9|CDC42EP4|TMEM87A|PLEKHG3|SLITRK5|TIAM2|ARFGAP3|TMOD3|TAX1BP3|KCTD3|DYNC1LI1|GMIP|NDE1|SPDL1|TEX2|NSFL1C|GOPC|ZNF512B|PLEKHG1|ARHGAP31|FAM135A|PREX1|ARHGAP21|MRTFA|ELMO2|LIN7B|KLC2|SOWAHC|NUP37|EFHD2|KIF18A|STARD13|FMNL3|SHKBP1|EPSTI1|PPP1R14A|ARHGEF19|DOCK11|MPP7|CDC42EP5|SGO2|PRAG1|TUBB2B,-19.629781114878117,0,5.0,0.0,0.0,-23.778373497825335,4.620172383107473,
0,0,0,1,1,1,0,0,0.0,0.0,0.0,-5.9613397630732265,-22.68545331427946,-2.5139751594174298,0.0,0.0,GO:0030029,M00011100,3,0,GO Biological Processes,19,actin filament-based process,19_GO:0009987 cellular process,-22.68545331427946,7.819933264479225,15.449779258470445,30286,614,246,39,15.853658536585366,2.32870682270512,60|87|388|800|1072|1264|1465|2275|2316|3688|4627|4637|4650|4739|5074|5216|6548|7094|7126|7168|7171|7408|8394|8407|8572|9645|10049|10092|10096|10398|10487|10611|11155|23022|27063|27295|55740|57591|91010,ACTB|ACTN1|RHOB|CALD1|CFL1|CNN1|CSRP1|FHL3|FLNA|ITGB1|MYH9|MYL6|MYO9B|NEDD9|PAWR|PFN1|SLC9A1|TLN1|TNFAIP1|TPM1|TPM4|VASP|PIP5K1A|TAGLN2|PDLIM4|MICAL2|DNAJB6|ARPC5|ACTR3|MYL9|CAP1|PDLIM5|LDB3|PALLD|ANKRD1|PDLIM3|ENAH|MRTFA|FMNL3,-19.094923552741623,0,7.0,1.0,1.0,-22.68545331427946,8.589336358479866,
0,0,1,0,1,1,0,1,0.0,0.0,-3.133635118060268,0.0,-6.757949295511887,-4.532968517829473,0.0,-15.724653115242546,R-HSA-5653656,M00101101,4,0,Reactome Gene Sets,6,Vesicle-mediated transport,,-22.658487368776985,2.624733889759421,11.711908263851658,30286,673,2126,124,5.832549388523048,0.5082741103503765,60|382|400|409|811|949|1075|1212|1277|1278|1282|1315|1783|1856|1861|1956|2495|2664|2799|2873|3796|4121|4253|4627|5049|5563|5866|5872|5874|5879|6453|6455|6643|6712|6764|7082|7110|7184|7248|7249|7280|7529|7846|8218|8546|8615|8729|8906|9185|9230|9276|9367|9527|9554|9685|9712|9847|9919|9950|10000|10092|10096|10113|10121|10244|10254|10282|10484|10525|10540|10652|10802|10890|11021|11031|11127|11316|11336|22796|22848|22898|22920|22931|23062|23095|23216|23423|23647|24137|25839|25978|26052|26286|27147|27333|30011|51014|51028|51128|51143|51160|51693|51762|55083|55357|55707|55770|57511|57533|60412|64689|64746|64837|81035|81846|81930|83696|90196|90990|122553|125058|201627|347733|414918,ACTB|ARF6|ARL1|ARRB2|CALR|SCARB1|CTSC|CLTB|COL1A1|COL1A2|COL4A1|COPB1|DYNC1LI2|DVL2|TOR1A|EGFR|FTH1|GDI1|GNS|GPS1|KIF2A|MAN1A1|MIA2|MYH9|PAFAH1B2|PRKAA2|RAB3IL1|RAB13|RAB27B|RAC1|ITSN1|SH3GL1|SNX2|SPTBN2|DENND2B|TJP1|TMF1|HSP90B1|TSC1|TSC2|TUBB2A|YWHAB|TUBA1A|CLTCL1|AP3B1|USO1|GBF1|AP1G2|REPS2|RAB11B|COPB2|RAB9A|GOSR1|SEC22B|CLINT1|USP6NL|C2CD5|SEC16A|GOLGA5|AKT3|ARPC5|ACTR3|PREB|ACTR1A|RABEPK|STAM2|BET1|SEC23A|HYOU1|DCTN2|YKT6|SEC24A|RAB10|RAB35|RAB31|KIF3A|COPE|EXOC3|COG2|AAK1|DENND3|KIFAP3|RAB18|GGA2|KIF1B|TBC1D1|TMED3|ARFIP2|KIF4A|COG4|CHMP2B|DNM3|ARFGAP3|DENND2A|GOLIM4|SH3KBP1|TMED7|VPS36|SAR1B|DYNC1LI1|VPS28|TRAPPC2L|RAB8B|KIF26B|TBC1D2|NECAP2|EXOC2|COG6|TBC1D14|EXOC4|GORASP1|ACBD3|KLC2|COLEC12|SBF2|KIF18A|TRAPPC9|SYS1|KIFC2|TRAPPC6B|TBC1D16|DENND6A|TUBB2B|DENND6B,-19.147138853286773,0,8.0,1.0,1.0,-22.658487368776985,2.891419762860576,
1,1,0,0,0,0,1,0,-3.8887238435207165,-22.24234159062509,0.0,0.0,0.0,0.0,-10.175044374510124,0.0,GO:0042254,M11000010,3,0,GO Biological Processes,19,ribosome biogenesis,19_GO:0009987 cellular process,-22.24234159062509,10.352971338838385,16.61097835554125,30286,311,301,32,10.631229235880399,1.776647977219314,708|5036|8568|8602|9221|10200|10248|10360|10528|10813|23481|23517|25926|26155|51010|51154|51550|54475|54606|54955|55011|55646|55651|55720|57418|79863|79922|83732|84294|84864|128061|196074,C1QBP|PA2G4|RRP1|NOP14|NOLC1|MPHOSPH6|POP7|NPM3|NOP56|UTP14A|PES1|MTREX|NOL11|NOC2L|EXOSC3|MRTO4|CINP|NLE1|DDX56|AIRIM|PIH1D1|LYAR|NHP2|TSR1|WDR18|RBFA|MRM1|RIOK1|UTP23|RIOX2|C1orf131|METTL15,-18.73099307513488,0,9.0,1.0,1.0,-22.24234159062509,13.974713916574382,
1,0,1,1,1,1,0,1,-2.2280504344022125,0.0,-3.943899033240814,-4.16706971331646,-14.305958836579627,-2.7791479769008074,0.0,-3.5333549527412846,GO:0048729,M10111101,6,0,GO Biological Processes,19,tissue morphogenesis,19_GO:0032502 developmental process,-22.175133578836142,2.7644300666407906,11.705797272155326,30286,572,2126,111,5.22107243650047,0.48245201471422683,59|60|133|182|317|388|659|780|960|1282|1289|1301|1435|1499|1832|1856|1861|1906|1948|1956|2043|2045|2260|2263|2280|2296|2300|2316|2648|2650|2909|3202|3371|3611|3624|3685|3688|4086|4088|4092|4193|4194|4323|4478|4488|4522|4524|4669|5058|5087|5216|5310|5534|5663|6091|6092|6385|6422|6608|6615|7048|7168|7189|7248|7249|7289|7291|7408|7414|7798|7849|8321|8463|8642|8915|9021|9620|9645|9968|10370|10395|10890|11096|11331|22943|23059|23275|23322|23552|25865|25902|25932|26005|27063|30812|51684|55083|55625|57545|57591|60412|64399|65009|79600|84445|90627|115908|161882|284217|441478|642658,ACTA2|ACTB|ADM|JAG1|APAF1|RHOB|BMPR2|DDR1|CD44|COL4A1|COL5A1|COL11A1|CSF1|CTNNB1|DSP|DVL2|TOR1A|EDN1|EFNB2|EGFR|EPHA4|EPHA7|FGFR1|FGFR2|FKBP1A|FOXC1|FOXL1|FLNA|KAT2A|GCNT1|ARHGAP35|HOXA5|TNC|ILK|INHBA|ITGAV|ITGB1|SMAD1|SMAD3|SMAD7|MDM2|MDM4|MMP14|MSN|MSX2|MTHFD1|MTHFR|NAGLU|PAK1|PBX1|PFN1|PKD1|PPP3R1|PSEN1|ROBO1|ROBO2|SDC4|SFRP1|SMO|SNAI1|TGFBR2|TPM1|TRAF6|TSC1|TSC2|TULP3|TWIST1|VASP|VCL|LUZP1|PAX8|FZD1|TEAD2|DCHS1|BCL10|SOCS3|CELSR1|MICAL2|MED12|CITED2|DLC1|RAB10|ADAMTS5|PHB2|DKK1|CLUAP1|POFUT2|RPGRIP1L|CDK20|PRKD2|MTHFD1L|CLIC4|C2CD3|ANKRD1|SOX8|SUFU|KIF26B|ZDHHC7|CC2D2A|MRTFA|EXOC4|HHIP|NDRG4|TCTN1|LZTS2|STARD13|CTHRC1|ZFPM1|LAMA1|NRARP|SCX,-18.730731852976543,0,6.0,0.0,0.0,-23.62811138792904,4.641802403627639,
1,0,0,0,0,0,1,1,-2.1889142912223525,0.0,0.0,0.0,0.0,0.0,-5.641265957134004,-21.634548855516673,R-HSA-446203,M10000011,3,0,Reactome Gene Sets,6,Asparagine N-linked glycosylation,,-21.634548855516673,11.64969758064516,16.956955877399835,30286,304,248,29,11.693548387096774,2.040532588633521,811|1315|2673|6400|6675|6712|8702|8703|8729|9276|9527|9554|9919|10113|10282|10484|10802|11316|29925|29926|51014|51128|55757|56886|57511|64689|79139|84061|122553,CALR|COPB1|GFPT1|SEL1L|UAP1|SPTBN2|B4GALT4|B4GALT3|GBF1|COPB2|GOSR1|SEC22B|SEC16A|PREB|BET1|SEC23A|SEC24A|COPE|GMPPB|GMPPA|TMED7|SAR1B|UGGT2|UGGT1|COG6|GORASP1|DERL1|MAGT1|TRAPPC6B,-18.242901804151554,0,3.0,0.0,0.0,-25.09215266496945,19.539354838709677,
1,1,0,0,0,0,1,0,-7.714695126915402,-21.629311583033466,0.0,0.0,0.0,0.0,-11.919665504320918,0.0,GO:0034660,M11000010,3,0,GO Biological Processes,19,ncRNA metabolic process,19_GO:0008152 metabolic process,-21.629311583033466,7.362288307268454,14.847610936833506,30286,533,301,39,12.956810631229235,1.9356784086272898,5036|6832|8568|8602|9221|10200|10248|10360|10528|10813|23481|23517|25821|25926|26610|51010|51154|51654|54606|54920|55011|55174|55621|55623|55646|55651|55718|55720|57418|63892|79587|79863|79922|83732|84294|84705|87178|92935|196074,PA2G4|SUPV3L1|RRP1|NOP14|NOLC1|MPHOSPH6|POP7|NPM3|NOP56|UTP14A|PES1|MTREX|MTO1|NOL11|ELP4|EXOSC3|MRTO4|CDK5RAP1|DDX56|DUS2|PIH1D1|INTS10|TRMT1|THUMPD1|LYAR|NHP2|POLR3E|TSR1|WDR18|THADA|CARS2|RBFA|MRM1|RIOK1|UTP23|GTPBP3|PNPT1|MARS2|METTL15,-18.242901804151554,0,9.0,0.0,0.0,-22.24234159062509,13.974713916574382,
0,0,0,1,1,1,0,0,0.0,0.0,0.0,-6.814001710806855,-21.520744916084414,-2.500873870894891,0.0,0.0,GO:0030036,M00011100,3,0,GO Biological Processes,19,actin cytoskeleton organization,19_GO:0009987 cellular process,-21.520744916084414,8.147238163558107,15.222430422538553,30286,544,246,36,14.634146341463415,2.253503500877551,60|87|388|800|1072|1264|1465|2275|2316|3688|4627|4739|5074|5216|7094|7126|7168|7171|7408|8394|8407|8572|9645|10049|10092|10096|10398|10487|10611|11155|23022|27063|27295|55740|57591|91010,ACTB|ACTN1|RHOB|CALD1|CFL1|CNN1|CSRP1|FHL3|FLNA|ITGB1|MYH9|NEDD9|PAWR|PFN1|TLN1|TNFAIP1|TPM1|TPM4|VASP|PIP5K1A|TAGLN2|PDLIM4|MICAL2|DNAJB6|ARPC5|ACTR3|MYL9|CAP1|PDLIM5|LDB3|PALLD|ANKRD1|PDLIM3|ENAH|MRTFA|FMNL3,-18.185487659649883,0,7.0,0.0,0.0,-22.68545331427946,8.589336358479866,
1,1,0,0,0,0,1,0,-3.962024298284845,-21.425324886979773,0.0,0.0,0.0,0.0,-8.359003041196132,0.0,GO:0034470,M11000010,3,0,GO Biological Processes,19,ncRNA processing,19_GO:0008152 metabolic process,-21.425324886979773,8.485850378257215,15.384568510677079,30286,415,301,35,11.627906976744185,1.8476729343890281,5036|8568|8602|9221|10200|10248|10360|10528|10813|23481|23517|25821|25926|26610|51010|51154|51654|54606|54920|55011|55174|55621|55623|55646|55651|55720|57418|63892|79863|79922|83732|84294|84705|87178|196074,PA2G4|RRP1|NOP14|NOLC1|MPHOSPH6|POP7|NPM3|NOP56|UTP14A|PES1|MTREX|MTO1|NOL11|ELP4|EXOSC3|MRTO4|CDK5RAP1|DDX56|DUS2|PIH1D1|INTS10|TRMT1|THUMPD1|LYAR|NHP2|TSR1|WDR18|THADA|RBFA|MRM1|RIOK1|UTP23|GTPBP3|PNPT1|METTL15,-18.135825121105917,0,9.0,0.0,0.0,-22.24234159062509,13.974713916574382,
0,0,1,0,1,1,0,1,0.0,0.0,-2.976764968045014,0.0,-5.90278600939905,-4.874664825168461,0.0,-13.903926044699354,R-HSA-199991,M00101101,4,0,Reactome Gene Sets,6,Membrane Trafficking,,-20.963825466665075,2.606437942730977,11.23209273215235,30286,634,2126,116,5.456255879586077,0.4925860778482096,60|382|400|409|1075|1212|1315|1783|1856|1861|1956|2495|2664|2799|2873|3796|4121|4253|4627|5049|5563|5866|5872|5874|5879|6453|6455|6643|6712|6764|7082|7110|7248|7249|7280|7529|7846|8218|8546|8615|8729|8906|9185|9230|9276|9367|9527|9554|9685|9712|9847|9919|9950|10000|10092|10096|10113|10121|10244|10254|10282|10484|10540|10652|10802|10890|11021|11031|11127|11316|11336|22796|22848|22898|22920|22931|23062|23095|23216|23423|23647|24137|25839|25978|26052|26286|27147|27333|30011|51014|51028|51128|51143|51160|51693|51762|55083|55357|55707|55770|57511|57533|60412|64689|64746|64837|81846|81930|83696|90196|90990|122553|125058|201627|347733|414918,ACTB|ARF6|ARL1|ARRB2|CTSC|CLTB|COPB1|DYNC1LI2|DVL2|TOR1A|EGFR|FTH1|GDI1|GNS|GPS1|KIF2A|MAN1A1|MIA2|MYH9|PAFAH1B2|PRKAA2|RAB3IL1|RAB13|RAB27B|RAC1|ITSN1|SH3GL1|SNX2|SPTBN2|DENND2B|TJP1|TMF1|TSC1|TSC2|TUBB2A|YWHAB|TUBA1A|CLTCL1|AP3B1|USO1|GBF1|AP1G2|REPS2|RAB11B|COPB2|RAB9A|GOSR1|SEC22B|CLINT1|USP6NL|C2CD5|SEC16A|GOLGA5|AKT3|ARPC5|ACTR3|PREB|ACTR1A|RABEPK|STAM2|BET1|SEC23A|DCTN2|YKT6|SEC24A|RAB10|RAB35|RAB31|KIF3A|COPE|EXOC3|COG2|AAK1|DENND3|KIFAP3|RAB18|GGA2|KIF1B|TBC1D1|TMED3|ARFIP2|KIF4A|COG4|CHMP2B|DNM3|ARFGAP3|DENND2A|GOLIM4|SH3KBP1|TMED7|VPS36|SAR1B|DYNC1LI1|VPS28|TRAPPC2L|RAB8B|KIF26B|TBC1D2|NECAP2|EXOC2|COG6|TBC1D14|EXOC4|GORASP1|ACBD3|KLC2|SBF2|KIF18A|TRAPPC9|SYS1|KIFC2|TRAPPC6B|TBC1D16|DENND6A|TUBB2B|DENND6B,-17.577415687783162,0,8.0,0.0,0.0,-22.658487368776985,2.891419762860576,
