Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M39209,HAY BONE MARROW STROMAL,,-98,7.6,32,30293,765,871,167,19,1.3,133|182|220|284|348|445|652|653|710|715|861|1266|1281|1282|1284|1293|1294|1356|1381|1392|1490|1545|1634|1809|1903|1909|1910|1958|2034|2070|2138|2192|2202|2252|2273|2296|2297|2619|2621|2674|2697|3075|3232|3233|3371|3399|3400|3485|3486|3487|3488|3490|3491|3554|3671|3672|3910|3977|4015|4053|4060|4256|4281|4313|4502|4685|4837|4854|4886|4921|5156|5740|5764|5783|5806|6387|6422|6507|6529|6581|6586|6591|6869|6876|6913|7026|7078|7130|7162|7291|7373|7412|7545|8499|8613|8633|8829|9180|9369|9510|9547|9627|9635|9672|10252|10265|10350|10351|10468|10752|22795|22829|22998|23213|25878|25903|26167|27286|29951|29995|51129|51232|51435|54510|54757|55504|56130|56243|56256|56937|57007|64093|64094|64129|64759|79191|79822|79827|79901|79949|79987|80243|80274|80760|81578|83604|84624|84662|84858|84870|85449|91653|92293|116039|117581|122786|133584|147381|151887|166336|169611|219699|253738|283298|387758|388630|389136,ADM|JAG1|ALDH1A3|ANGPT1|APOE|ASS1|BMP4|BMP5|SERPING1|C1R|RUNX1|CNN3|COL3A1|COL4A1|COL4A2|COL6A3|COL7A1|CP|CRABP1|CRH|CCN2|CYP1B1|DCN|DPYSL3|S1PR3|EDNRA|EDNRB|EGR1|EPAS1|EYA4|EYA1|FBLN1|EFEMP1|FGF7|FHL1|FOXC1|FOXD1|GAS1|GAS6|GFRA1|GJA1|CFH|HOXD3|HOXD4|TNC|ID3|ID4|IGFBP2|IGFBP3|IGFBP4|IGFBP5|IGFBP7|CCN1|IL1R1|ISLR|ITGA1|LAMA4|LIFR|LOX|LTBP2|LUM|MGP|MID1|MMP2|MT2A|NCAM2|NNMT|NOTCH3|NPY1R|DDR2|PDGFRA|PTGIS|PTN|PTPN13|PTX3|CXCL12|SFRP1|SLC1A3|SLC6A1|SLC22A3|SLIT3|SNAI2|TACR1|TAGLN|TBX15|NR2F2|TIMP3|TNFAIP6|TPBG|TWIST1|COL14A1|VCAM1|ZIC1|PPFIA2|PLPP3|UNC5C|NRP1|OSMR|NRXN3|ADAMTS1|CXCL14|SNCAIP|CLCA2|SDC3|SPRY1|IRX5|ABCA9|ABCA8|FST|CHL1|NID2|NLGN4Y|LIMCH1|SULF1|MXRA5|OLFML2B|PCDHB5|SRPX2|PDZRN4|LMCD1|ANGPTL4|CRIM1|SCARA3|PCDH18|FAM20A|TNFRSF19|PCDHB6|KIAA1217|SERTAD4|PMEPA1|ACKR3|SMOC1|SMOC2|TINAGL1|TNS3|IRX3|ARHGAP28|CLMP|CYBRD1|PLEKHS1|SVEP1|PREX2|SCUBE1|ITIH5|COL21A1|TMEM47|FNDC1|GLIS2|ZNF503|RSPO3|KIAA1755|BOC|TMEM132C|OSR2|TWIST2|FRMD6|EGFLAM|CBLN2|CCDC80|PRICKLE2|OLFML2A|UNC5B|EBF3|OLFML1|FIBIN|TRABD2B|VGLL3,-93,MyList
Cell Type Signatures,7,M39175,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-90,7.8,31,30293,680,871,152,17,1.3,19|59|87|90|165|182|649|715|861|875|1266|1281|1282|1284|1293|1306|1490|1545|1634|1827|1839|1903|1909|1910|2034|2149|2151|2252|2589|2615|2617|2683|3090|3371|3399|3486|3487|3488|3490|3491|3554|3589|3624|3671|3672|3673|3755|3910|3912|3976|4015|4052|4053|4060|4256|4312|4313|4320|4502|4627|4638|4837|4851|4854|5054|5156|5176|5327|5328|5742|6001|6422|6423|6444|6591|6781|6925|6926|7026|7043|7046|7052|7057|7076|7078|7130|7145|7162|7431|7837|7980|8038|8507|8543|8553|8829|8840|8870|8871|8877|9180|9244|9516|9590|9644|9645|9945|10082|10123|10319|10417|10581|10763|10981|11031|22795|22808|22822|23213|23657|26010|26227|26585|27286|29968|29995|51129|51313|51435|54541|55075|55959|56937|57124|57214|57493|57636|57761|64759|79901|79971|83604|83716|114907|122786|151887|160428|163782|169611|219699|387758|401097,ABCA1|ACTA2|ACTN1|ACVR1|AEBP1|JAG1|BMP1|C1R|RUNX1|CBS|CNN3|COL3A1|COL4A1|COL4A2|COL6A3|COL15A1|CCN2|CYP1B1|DCN|RCAN1|HBEGF|S1PR3|EDNRA|EDNRB|EPAS1|F2R|F2RL2|FGF7|GALNT1|LRRC32|GARS1|B4GALT1|HIC1|TNC|ID3|IGFBP3|IGFBP4|IGFBP5|IGFBP7|CCN1|IL1R1|IL11|INHBA|ISLR|ITGA1|ITGA2|KCNG1|LAMA4|LAMB1|LIF|LOX|LTBP1|LTBP2|LUM|MGP|MMP1|MMP2|MMP11|MT2A|MYH9|MYLK|NNMT|NOTCH1|NOTCH3|SERPINE1|PDGFRA|SERPINF1|PLAT|PLAU|PTGS1|RGS10|SFRP1|SFRP2|SGCD|SNAI2|STC1|TCF4|TBX3|NR2F2|TGFB3|TGFBR1|TGM2|THBS1|TIMP1|TIMP3|TNFAIP6|TNS1|TPBG|VIM|PXDN|TFPI2|ADAM12|ENC1|LMO4|BHLHE40|NRP1|CCN4|IER3|SYNJ2|SPHK1|OSMR|CRLF1|LITAF|AKAP12|SH3PXD2A|MICAL2|GFPT2|GPC6|ARL4C|LAMC3|SPON2|IFITM2|NES|RAB32|RAB31|NID2|MRAS|PHLDA1|SULF1|SLC7A11|SPATS2L|PHGDH|GREM1|SRPX2|PSAT1|LMCD1|ANGPTL4|GASK1B|SCARA3|DDIT4|UACA|SULF2|PMEPA1|CD248|CEMIP|HEG1|ARHGAP23|TRIB3|TNS3|CYBRD1|WLS|TMEM47|CRISPLD2|FBXO32|FRMD6|CCDC80|ALDH1L2|KANK4|OLFML2A|UNC5B|FIBIN|C3orf80,-86,MyList
Cell Type Signatures,7,M39167,GAO LARGE INTESTINE ADULT CJ IMMUNE CELLS,,-82,8.7,30,30293,505,871,127,15,1.2,59|165|220|284|348|652|710|715|1004|1281|1282|1284|1287|1293|1306|1464|1634|1809|1893|1903|1909|1910|2022|2192|2202|2273|2294|2321|2615|2668|2697|3075|3486|3488|3490|3554|3671|3672|3708|3910|3977|4015|4053|4060|4094|4256|4313|4320|4837|4854|4883|5066|5156|5176|5307|5327|5328|5742|5764|6299|6387|6422|6444|6591|6781|6925|7052|7078|7123|7145|7373|7837|8490|8633|8722|8829|9411|9510|9547|9672|9891|10082|10100|10319|10351|10417|10468|10630|10752|10763|10867|11075|11259|22998|23213|23336|25878|26227|50515|51313|54510|55901|56967|57007|57493|57616|79827|79901|80243|80332|80760|80832|81035|81606|83604|83716|83857|84251|84662|85449|122786|133584|151887|169611|256691|257194|375033,ACTA2|AEBP1|ALDH1A3|ANGPT1|APOE|BMP4|SERPING1|C1R|CDH6|COL3A1|COL4A1|COL4A2|COL4A5|COL6A3|COL15A1|CSPG4|DCN|DPYSL3|ECM1|S1PR3|EDNRA|EDNRB|ENG|FBLN1|EFEMP1|FHL1|FOXF1|FLT1|LRRC32|GDNF|GJA1|CFH|IGFBP3|IGFBP5|IGFBP7|IL1R1|ISLR|ITGA1|ITPR1|LAMA4|LIFR|LOX|LTBP2|LUM|MAF|MGP|MMP2|MMP11|NNMT|NOTCH3|NPR3|PAM|PDGFRA|SERPINF1|PITX1|PLAT|PLAU|PTGS1|PTN|SALL1|CXCL12|SFRP1|SGCD|SNAI2|STC1|TCF4|TGM2|TIMP3|CLEC3B|TNS1|COL14A1|PXDN|RGS5|UNC5C|CTSF|NRP1|ARHGAP29|ADAMTS1|CXCL14|SDC3|NUAK1|GPC6|TSPAN2|LAMC3|ABCA8|SPON2|FST|PDPN|CHL1|NES|TSPAN9|STMN2|FILIP1L|LIMCH1|SULF1|SYNM|MXRA5|PHGDH|CHST11|GASK1B|PCDH18|THSD1|C14orf132|ACKR3|HEG1|TSHZ3|CLMP|CYBRD1|PREX2|ADAM33|ITIH5|APOL4|COLEC12|LBH|TMEM47|CRISPLD2|TMTC1|SGIP1|GLIS2|KIAA1755|FRMD6|EGFLAM|CCDC80|OLFML2A|MAMDC2|NEGR1|PEAR1,-78,MyList
Cell Type Signatures,7,M41675,TRAVAGLINI LUNG ADVENTITIAL FIBROBLAST CELL,,-56,9.6,26,30293,296,871,82,9.4,0.99,133|220|715|1281|1293|1545|1604|1634|1809|1958|2192|2202|2252|2512|2619|2627|2683|3075|3487|3491|3554|3671|3983|4015|4060|4147|4256|4313|4837|4958|4969|5156|5176|5292|5327|5328|5740|5806|6001|6277|6281|6387|6422|6423|6424|7048|7076|7123|7832|8076|8425|8722|8829|9547|9590|9945|10234|10350|10351|10512|10630|23017|25891|26002|26227|50863|56005|57007|57124|57863|79827|79901|79987|81035|84870|116039|130497|151887|157506|221476|257194|387758,ADM|ALDH1A3|C1R|COL3A1|COL6A3|CYP1B1|CD55|DCN|DPYSL3|EGR1|FBLN1|EFEMP1|FGF7|FTL|GAS1|GATA6|B4GALT1|CFH|IGFBP4|CCN1|IL1R1|ISLR|ABLIM1|LOX|LUM|MATN2|MGP|MMP2|NNMT|OMD|OGN|PDGFRA|SERPINF1|PIM1|PLAT|PLAU|PTGIS|PTX3|RGS10|S100A6|S100A10|CXCL12|SFRP1|SFRP2|SFRP4|TGFBR2|TIMP1|CLEC3B|BTG2|MFAP5|LTBP4|CTSF|NRP1|CXCL14|AKAP12|GFPT2|LRRC17|ABCA9|ABCA8|SEMA3C|PDPN|FAIM2|PAMR1|MOXD1|PHGDH|NTM|MYDGF|ACKR3|CD248|CADM3|CLMP|CYBRD1|SVEP1|COLEC12|RSPO3|OSR2|OSR1|CCDC80|RDH10|PI16|NEGR1|FIBIN,-52,MyList
Cell Type Signatures,7,M39050,MANNO MIDBRAIN NEUROTYPES HPERIC,,-55,5.5,22,30293,795,871,125,14,1.2,19|59|87|182|290|348|710|861|928|953|1004|1240|1281|1282|1284|1464|1634|1827|1832|1839|1903|1909|1958|1959|2034|2149|2151|2296|2297|2615|2621|2817|2983|3075|3090|3315|3399|3487|3490|3491|3554|3672|3910|3912|4060|4256|4320|4502|4627|4638|4854|4978|5327|5764|6529|6546|6591|6783|6876|6913|7026|7040|7043|7048|7076|7130|7145|7225|7291|7545|7837|8038|8407|8490|8840|9037|9180|9368|9411|9510|9518|9590|9644|10234|10252|10319|10350|10417|10580|10581|10628|11142|11259|22795|22822|23189|23336|25878|25891|26010|51129|54510|55075|55603|55890|56937|57124|64759|79987|80760|81035|81578|81606|83716|84107|103910|116496|122786|150094|169611|170692|196883|219699|283298|374378,ABCA1|ACTA2|ACTN1|JAG1|ANPEP|APOE|SERPING1|RUNX1|CD9|ENTPD1|CDH6|CMKLR1|COL3A1|COL4A1|COL4A2|CSPG4|DCN|RCAN1|DSP|HBEGF|S1PR3|EDNRA|EGR1|EGR2|EPAS1|F2R|F2RL2|FOXC1|FOXD1|LRRC32|GAS6|GPC1|GUCY1B1|CFH|HIC1|HSPB1|ID3|IGFBP4|IGFBP7|CCN1|IL1R1|ITGA1|LAMA4|LAMB1|LUM|MGP|MMP11|MT2A|MYH9|MYLK|NOTCH3|OPCML|PLAT|PTN|SLC6A1|SLC8A1|SNAI2|SULT1E1|TAGLN|TBX15|NR2F2|TGFB1|TGFB3|TGFBR2|TIMP1|TNFAIP6|TNS1|TRPC6|TWIST1|ZIC1|PXDN|ADAM12|TAGLN2|RGS5|CCN4|SEMA5A|OSMR|NHERF1|ARHGAP29|ADAMTS1|GDF15|AKAP12|SH3PXD2A|LRRC17|SPRY1|LAMC3|ABCA9|SPON2|SORBS1|IFITM2|TXNIP|PKIG|FILIP1L|NID2|PHLDA1|KANK1|SYNM|MXRA5|PAMR1|SPATS2L|ANGPTL4|PCDH18|UACA|TENT5A|GPRC5C|PMEPA1|CD248|TNS3|SVEP1|ITIH5|COLEC12|COL21A1|LBH|CRISPLD2|ZIC4|MYL12B|NIBAN1|FRMD6|SIK1|OLFML2A|ADAMTS18|ADCY4|UNC5B|OLFML1|GALNT18,-51,MyList
Cell Type Signatures,7,M39122,AIZARANI LIVER C21 STELLATE CELLS 1,,-54,12,27,30293,194,871,68,7.8,0.91,59|87|165|288|715|1281|1282|1284|1293|1465|1490|1634|1808|1910|1958|2022|2034|2192|2202|2273|3075|3315|3486|3487|3488|3490|3491|3912|4060|4147|4256|4313|4638|4921|5054|5156|5176|5648|5764|5999|6387|6422|6586|6925|7026|7057|7076|7078|7145|7373|7431|7832|8425|8848|8870|9510|9719|10082|10319|10370|10581|10602|11098|11259|22822|79901|83716|151887,ACTA2|ACTN1|AEBP1|ANK3|C1R|COL3A1|COL4A1|COL4A2|COL6A3|CSRP1|CCN2|DCN|DPYSL2|EDNRB|EGR1|ENG|EPAS1|FBLN1|EFEMP1|FHL1|CFH|HSPB1|IGFBP3|IGFBP4|IGFBP5|IGFBP7|CCN1|LAMB1|LUM|MATN2|MGP|MMP2|MYLK|DDR2|SERPINE1|PDGFRA|SERPINF1|MASP1|PTN|RGS4|CXCL12|SFRP1|SLIT3|TCF4|NR2F2|THBS1|TIMP1|TIMP3|TNS1|COL14A1|VIM|BTG2|LTBP4|TSC22D1|IER3|ADAMTS1|ADAMTSL2|GPC6|LAMC3|CITED2|IFITM2|CDC42EP3|PRSS23|FILIP1L|PHLDA1|CYBRD1|CRISPLD2|CCDC80,-50,MyList
Cell Type Signatures,7,M39264,HU FETAL RETINA FIBROBLAST,,-52,7.9,24,30293,385,871,88,10,1,165|182|214|284|290|649|715|894|1266|1281|1282|1284|1287|1293|1490|1634|1903|1909|1958|2022|2045|2149|2192|2201|2263|2296|2317|3090|3399|3487|3488|3490|3491|3910|3912|4060|4232|4313|4502|4627|4854|4921|4969|5156|5307|5764|6281|6387|6591|6783|6925|7026|7052|7076|7162|7291|7832|7837|8425|8613|9411|10234|10319|10468|10581|10602|10628|11098|23213|25878|26010|27123|54510|55075|56265|57124|79822|79827|79971|80274|81578|84870|115207|122786|151887|283298|375033|387914,AEBP1|JAG1|ALCAM|ANGPT1|ANPEP|BMP1|C1R|CCND2|CNN3|COL3A1|COL4A1|COL4A2|COL4A5|COL6A3|CCN2|DCN|S1PR3|EDNRA|EGR1|ENG|EPHA7|F2R|FBLN1|FBN2|FGFR2|FOXC1|FLNB|HIC1|ID3|IGFBP4|IGFBP5|IGFBP7|CCN1|LAMA4|LAMB1|LUM|MEST|MMP2|MT2A|MYH9|NOTCH3|DDR2|OGN|PDGFRA|PITX1|PTN|S100A10|CXCL12|SNAI2|SULT1E1|TCF4|NR2F2|TGM2|TIMP1|TPBG|TWIST1|BTG2|PXDN|LTBP4|PLPP3|ARHGAP29|LRRC17|LAMC3|FST|IFITM2|CDC42EP3|TXNIP|PRSS23|SULF1|MXRA5|SPATS2L|DKK2|PCDH18|UACA|CPXM1|CD248|ARHGAP28|CLMP|WLS|SCUBE1|COL21A1|RSPO3|KCTD12|FRMD6|CCDC80|OLFML1|PEAR1|SHISA2,-49,MyList
Cell Type Signatures,7,M39128,AIZARANI LIVER C29 MVECS 2,,-49,8.7,23,30293,313,871,78,9,0.97,87|652|928|1281|1465|1490|1604|1808|1809|1839|1906|2022|2034|2149|2296|2317|2321|2615|2683|2697|2823|3315|3399|3486|3487|3490|3491|3554|3977|3983|4147|4256|4739|4958|5054|5740|5742|6281|6578|6781|6925|7026|7052|7075|7076|7078|7123|7431|7980|8407|8425|8613|8848|9510|9590|10252|10581|10602|10611|11098|11142|11259|22998|51232|55075|55959|57007|57493|57514|57636|64123|64129|80243|83604|83857|84870|90139|115207,ACTN1|BMP4|CD9|COL3A1|CSRP1|CCN2|CD55|DPYSL2|DPYSL3|HBEGF|EDN1|ENG|EPAS1|F2R|FOXC1|FLNB|FLT1|LRRC32|B4GALT1|GJA1|GPM6A|HSPB1|ID3|IGFBP3|IGFBP4|IGFBP7|CCN1|IL1R1|LIFR|ABLIM1|MATN2|MGP|NEDD9|OMD|SERPINE1|PTGIS|PTGS1|S100A10|SLCO2A1|STC1|TCF4|NR2F2|TGM2|TIE1|TIMP1|TIMP3|CLEC3B|VIM|TFPI2|TAGLN2|LTBP4|PLPP3|TSC22D1|ADAMTS1|AKAP12|SPRY1|IFITM2|CDC42EP3|PDLIM5|PRSS23|PKIG|FILIP1L|LIMCH1|CRIM1|UACA|SULF2|ACKR3|HEG1|ARHGAP31|ARHGAP23|ADGRL4|TINAGL1|PREX2|TMEM47|TMTC1|RSPO3|TSPAN18|KCTD12,-46,MyList
Cell Type Signatures,7,M39055,MANNO MIDBRAIN NEUROTYPES HRGL2A,,-49,6,21,30293,600,871,103,12,1.1,182|547|655|1191|1287|1490|1501|1717|1910|1958|1959|2173|2202|2273|2334|2670|2697|2817|2823|2890|2895|3315|3371|3400|3485|3491|3910|3977|4036|4052|4685|4753|4851|5099|5270|5354|5648|5992|6299|6319|6422|6423|6424|6507|6509|6536|6657|6925|7078|7412|7431|7852|8407|8613|9368|9516|9627|9865|10234|10252|10580|10611|10630|11341|22829|22998|23024|23209|23231|23657|25817|26227|27087|27295|29968|29995|51050|51313|54437|54857|57537|58528|63827|64093|79192|79971|80332|83539|83604|84631|90139|91653|92211|115207|116372|128434|143282|143686|145864|202151|220963|221476|256691,JAG1|KIF1A|BMP7|CLU|COL4A5|CCN2|CTNND2|DHCR7|EDNRB|EGR1|EGR2|FABP7|EFEMP1|FHL1|AFF2|GFAP|GJA1|GPC1|GPM6A|GRIA1|GRID2|HSPB1|TNC|ID4|IGFBP2|CCN1|LAMA4|LIFR|LRP2|LTBP1|NCAM2|NELL2|NOTCH1|PCDH7|SERPINE2|PLP1|MASP1|RFX4|SALL1|SCD|SFRP1|SFRP2|SFRP4|SLC1A3|SLC1A4|SLC6A9|SOX2|TCF4|TIMP3|VCAM1|VIM|CXCR4|TAGLN2|PLPP3|NHERF1|LITAF|SNCAIP|TRIL|LRRC17|SPRY1|SORBS1|PDLIM5|PDPN|SCRG1|NLGN4Y|LIMCH1|PDZRN3|MLC1|SEL1L3|SLC7A11|TAFA5|PHGDH|B3GAT1|PDLIM3|PSAT1|LMCD1|PI15|GASK1B|SEMA5B|GDPD2|SORCS2|RRAGD|BCAN|SMOC1|IRX1|WLS|ADAM33|CHST9|TMEM47|SLITRK2|TSPAN18|BOC|CDHR1|KCTD12|LYPD1|VSTM2L|FGFBP3|SESN3|HAPLN3|RANBP3L|SLC16A9|PI16|MAMDC2,-45,MyList
Cell Type Signatures,7,M39321,CUI DEVELOPING HEART VASCULAR ENDOTHELIAL CELL,,-44,11,24,30293,193,871,60,6.9,0.86,388|445|715|1191|1509|1953|2202|2621|2624|2697|3075|3485|3490|4015|4053|4233|4256|4313|4627|4837|4958|5054|5142|5270|5742|5764|5792|6422|6424|6783|7412|7832|8425|8490|8553|8848|9510|10100|10602|10628|10763|23213|27123|51050|51232|51313|54541|54829|55603|55959|57493|64072|113146|145864|147381|150094|196883|221476|284207|389792,RHOB|ASS1|C1R|CLU|CTSD|MEGF6|EFEMP1|GAS6|GATA2|GJA1|CFH|IGFBP2|IGFBP7|LOX|LTBP2|MET|MGP|MMP2|MYH9|NNMT|OMD|SERPINE1|PDE4B|SERPINE2|PTGS1|PTN|PTPRF|SFRP1|SFRP4|SULT1E1|VCAM1|BTG2|LTBP4|RGS5|BHLHE40|TSC22D1|ADAMTS1|TSPAN2|CDC42EP3|TXNIP|NES|SULF1|DKK2|PI15|CRIM1|GASK1B|DDIT4|ASPN|TENT5A|SULF2|HEG1|CDH23|AHNAK2|HAPLN3|CBLN2|SIK1|ADCY4|PI16|METRNL|IER5L,-41,MyList
Cell Type Signatures,7,M39302,CUI DEVELOPING HEART C5 VALVAR CELL,,-43,10,23,30293,208,871,61,7,0.86,87|165|348|928|1191|1404|1545|1604|1809|1958|1959|2273|2683|3399|3400|3488|4053|4147|4256|4502|4739|5176|5179|5999|6277|6281|6285|6424|6581|6876|7043|7057|7078|7130|7162|7291|7832|7837|8425|8490|8613|8618|8848|8870|9510|11259|11341|22998|25878|25891|27123|27295|29995|54829|55504|55859|65997|79633|92293|151887|387758,ACTN1|AEBP1|APOE|CD9|CLU|HAPLN1|CYP1B1|CD55|DPYSL3|EGR1|EGR2|FHL1|B4GALT1|ID3|ID4|IGFBP5|LTBP2|MATN2|MGP|MT2A|NEDD9|SERPINF1|PENK|RGS4|S100A6|S100A10|S100B|SFRP4|SLC22A3|TAGLN|TGFB3|THBS1|TIMP3|TNFAIP6|TPBG|TWIST1|BTG2|PXDN|LTBP4|RGS5|PLPP3|CADPS|TSC22D1|IER3|ADAMTS1|FILIP1L|SCRG1|LIMCH1|MXRA5|PAMR1|DKK2|PDLIM3|LMCD1|ASPN|TNFRSF19|BEX1|RASL11B|FAT4|TMEM132C|CCDC80|FIBIN,-40,MyList
Cell Type Signatures,7,M39040,FAN EMBRYONIC CTX BRAIN ENDOTHELIAL 2,,-43,8.1,22,30293,303,871,71,8.2,0.93,87|165|290|649|710|928|1004|1266|1281|1282|1284|1464|1634|1893|1903|1909|2034|2149|2192|2615|2983|3075|3490|3672|3708|3910|3912|4060|4627|4638|4854|5764|6529|6591|6876|7026|7076|7078|7145|7225|7431|7545|7837|8038|8407|8490|9037|9368|9411|9590|10252|10319|10417|11142|22795|50863|51129|54510|54757|55075|55890|57124|64094|80332|80760|81035|122786|151887|169611|219699|374378,ACTN1|AEBP1|ANPEP|BMP1|SERPING1|CD9|CDH6|CNN3|COL3A1|COL4A1|COL4A2|CSPG4|DCN|ECM1|S1PR3|EDNRA|EPAS1|F2R|FBLN1|LRRC32|GUCY1B1|CFH|IGFBP7|ITGA1|ITPR1|LAMA4|LAMB1|LUM|MYH9|MYLK|NOTCH3|PTN|SLC6A1|SNAI2|TAGLN|NR2F2|TIMP1|TIMP3|TNS1|TRPC6|VIM|ZIC1|PXDN|ADAM12|TAGLN2|RGS5|SEMA5A|NHERF1|ARHGAP29|AKAP12|SPRY1|LAMC3|SPON2|PKIG|NID2|NTM|ANGPTL4|PCDH18|FAM20A|UACA|GPRC5C|CD248|SMOC2|ADAM33|ITIH5|COLEC12|FRMD6|CCDC80|OLFML2A|UNC5B|GALNT18,-40,MyList
Cell Type Signatures,7,M39056,MANNO MIDBRAIN NEUROTYPES HRGL3,,-41,5.6,19,30293,574,871,92,11,1,90|108|214|649|1191|1287|1404|1490|1612|1634|1910|1958|2202|2334|2697|2890|3315|3399|3400|3485|3488|3491|3755|3800|3977|4036|4232|5066|5992|6299|6319|6423|6507|6529|6536|6657|6869|7040|7078|7412|7431|7881|8407|8613|8829|9256|9516|9865|10234|10351|10611|10630|10699|10763|22998|23209|23213|23462|23657|26227|27092|27295|29968|29995|51232|51313|54212|54769|54857|55240|55890|55915|55959|57537|57863|63827|79825|79971|80760|81035|81706|83604|84870|91653|92293|115207|128434|152330|202151|256691|387758|388630,ACVR1|ADCY2|ALCAM|BMP1|CLU|COL4A5|HAPLN1|CCN2|DAPK1|DCN|EDNRB|EGR1|EFEMP1|AFF2|GJA1|GRIA1|HSPB1|ID3|ID4|IGFBP2|IGFBP5|CCN1|KCNG1|KIF5C|LIFR|LRP2|MEST|PAM|RFX4|SALL1|SCD|SFRP2|SLC1A3|SLC6A1|SLC6A9|SOX2|TACR1|TGFB1|TIMP3|VCAM1|VIM|KCNAB1|TAGLN2|PLPP3|NRP1|TSPOAP1|LITAF|TRIL|LRRC17|ABCA8|PDLIM5|PDPN|CORIN|NES|LIMCH1|MLC1|SULF1|HEY1|SLC7A11|PHGDH|CACNG4|PDLIM3|PSAT1|LMCD1|CRIM1|GASK1B|SNTG1|DIRAS2|GDPD2|STEAP3|GPRC5C|LANCL2|SULF2|SORCS2|CADM3|BCAN|EFCC1|WLS|ITIH5|COLEC12|PPP1R14C|TMEM47|RSPO3|BOC|TMEM132C|KCTD12|VSTM2L|CNTN4|RANBP3L|MAMDC2|FIBIN|TRABD2B,-38,MyList
Cell Type Signatures,7,M40158,DESCARTES FETAL CEREBELLUM VASCULAR ENDOTHELIAL CELLS,,-41,5.3,19,30293,632,871,96,11,1.1,59|133|290|388|1004|1030|1281|1282|1284|1465|1490|1832|1893|1903|1906|1909|2022|2034|2151|2294|2296|2297|2321|2615|2624|3075|3090|3399|3487|3490|3491|3554|3672|4854|5054|5155|5243|6281|6509|6513|6520|6541|6578|6591|6783|6876|6899|6926|7052|7075|7076|7123|7225|7291|8140|8407|8490|8492|8553|8614|9180|9411|9674|10319|10581|23336|23657|25797|25891|27286|28984|29995|51129|53637|54510|55075|55890|55901|57124|57194|57493|64123|64129|64220|80760|84858|103910|131583|143503|163782|168002|169611|196883|219699|283298|375033,ACTA2|ADM|ANPEP|RHOB|CDH6|CDKN2B|COL3A1|COL4A1|COL4A2|CSRP1|CCN2|DSP|ECM1|S1PR3|EDN1|EDNRA|ENG|EPAS1|F2RL2|FOXF1|FOXC1|FOXD1|FLT1|LRRC32|GATA2|CFH|HIC1|ID3|IGFBP4|IGFBP7|CCN1|IL1R1|ITGA1|NOTCH3|SERPINE1|PDGFB|ABCB1|S100A10|SLC1A4|SLC2A1|SLC3A2|SLC7A1|SLCO2A1|SNAI2|SULT1E1|TAGLN|TBX1|TBX3|TGM2|TIE1|TIMP1|CLEC3B|TRPC6|TWIST1|SLC7A5|TAGLN2|RGS5|PRSS12|BHLHE40|STC2|OSMR|ARHGAP29|KIAA0040|LAMC3|IFITM2|SYNM|SLC7A11|QPCT|PAMR1|SRPX2|RGCC|LMCD1|ANGPTL4|S1PR5|PCDH18|UACA|GPRC5C|THSD1|CD248|ATP10A|HEG1|ADGRL4|TINAGL1|STRA6|ITIH5|ZNF503|MYL12B|FAM43A|OR51E1|KANK4|DACT2|OLFML2A|ADCY4|UNC5B|OLFML1|PEAR1,-37,MyList
Cell Type Signatures,7,M39176,MURARO PANCREAS ENDOTHELIAL CELL,,-40,7.1,20,30293,362,871,74,8.5,0.94,182|928|1282|1284|1306|1545|1809|2034|2149|2321|2615|2624|3092|3399|3487|3490|3672|3673|3910|3912|3977|4091|4312|4313|4627|4638|4739|4851|4858|5054|5155|5214|5362|6387|6578|6781|6925|7046|7048|7057|7075|7431|7837|7852|8490|8613|8829|8848|9411|9732|10417|10581|11031|11098|23263|23336|23462|23657|28984|51313|55075|55959|56937|57493|57514|57636|64123|81606|83604|84858|103910|131583|169611|219699,JAG1|CD9|COL4A1|COL4A2|COL15A1|CYP1B1|DPYSL3|EPAS1|F2R|FLT1|LRRC32|GATA2|HIP1|ID3|IGFBP4|IGFBP7|ITGA1|ITGA2|LAMA4|LAMB1|LIFR|SMAD6|MMP1|MMP2|MYH9|MYLK|NEDD9|NOTCH1|NOVA2|SERPINE1|PDGFB|PFKP|PLXNA2|CXCL12|SLCO2A1|STC1|TCF4|TGFBR1|TGFBR2|THBS1|TIE1|VIM|PXDN|CXCR4|RGS5|PLPP3|NRP1|TSC22D1|ARHGAP29|DOCK4|SPON2|IFITM2|RAB31|PRSS23|MCF2L|SYNM|HEY1|SLC7A11|RGCC|GASK1B|UACA|SULF2|PMEPA1|HEG1|ARHGAP31|ARHGAP23|ADGRL4|LBH|TMEM47|ZNF503|MYL12B|FAM43A|OLFML2A|UNC5B,-37,MyList
